gravedad,claseSiniestro,choque,codigoLocalidad,disenoLugar,condicion,estado,edad,sexo,claseVehiculo,servicio,enfuga,codigoCausa,fechaHora
2,1,1.0,11,11,2.0,1.0,36.0,1.0,10.0,3.0,1.0,8,2020-05-07 15:30:00
3,1,1.0,9,1,1.0,1.0,24.0,2.0,2.0,2.0,1.0,13,2020-04-12 19:10:00
3,1,1.0,9,5,1.0,1.0,25.0,1.0,5.0,3.0,1.0,13,2017-05-31 18:00:00
3,1,1.0,10,1,1.0,1.0,19.0,1.0,5.0,2.0,1.0,31,2020-04-27 15:00:00
3,1,1.0,10,2,1.0,1.0,39.0,2.0,1.0,3.0,1.0,67,2015-06-17 07:00:00
2,1,1.0,9,2,1.0,1.0,21.0,1.0,1.0,2.0,1.0,22,2020-01-19 02:47:00
3,1,1.0,8,1,1.0,1.0,38.0,1.0,1.0,1.0,1.0,13,2016-12-14 06:45:00
3,1,1.0,18,2,1.0,1.0,22.0,1.0,1.0,3.0,1.0,13,2020-01-09 18:50:00
2,1,1.0,8,1,1.0,2.0,40.0,1.0,4.0,3.0,1.0,31,2017-08-05 23:20:00
3,1,1.0,10,1,1.0,1.0,44.0,1.0,1.0,2.0,1.0,31,2017-08-03 15:20:00
3,1,1.0,10,1,1.0,1.0,21.0,1.0,5.0,2.0,1.0,13,2017-06-12 10:22:00
3,1,1.0,4,2,1.0,1.0,66.0,1.0,1.0,3.0,1.0,25,2015-12-22 19:30:00
2,2,0.0,9,1,1.0,1.0,37.71525130603967,0.0,0.0,0.0,2.0,67,2019-09-14 05:30:00
2,1,1.0,9,1,2.0,1.0,37.0,1.0,13.0,0.0,1.0,8,2018-04-04 02:30:00
3,1,1.0,1,1,1.0,1.0,51.0,2.0,4.0,3.0,1.0,16,2018-03-05 07:20:00
2,1,1.0,19,1,2.0,2.0,29.0,1.0,2.0,2.0,1.0,14,2015-12-23 03:00:00
3,1,1.0,8,1,1.0,1.0,38.0,1.0,1.0,2.0,1.0,13,2016-12-14 06:45:00
3,1,1.0,11,1,1.0,1.0,29.0,1.0,1.0,3.0,1.0,31,2018-05-10 16:40:00
3,1,1.0,10,2,1.0,1.0,49.0,1.0,5.0,1.0,1.0,52,2020-01-15 16:15:00
3,1,1.0,16,1,1.0,1.0,42.0,1.0,1.0,3.0,1.0,44,2017-02-15 09:30:00
3,1,1.0,2,1,1.0,1.0,54.0,1.0,6.0,3.0,1.0,53,2015-09-30 15:00:00
3,1,1.0,8,1,2.0,1.0,33.0,1.0,10.0,3.0,1.0,13,2018-04-09 08:00:00
3,1,1.0,7,1,1.0,1.0,53.0,1.0,1.0,3.0,1.0,13,2015-08-14 19:30:00
3,1,1.0,1,1,2.0,1.0,21.0,1.0,10.0,3.0,1.0,13,2017-06-22 16:35:00
3,1,1.0,14,1,1.0,1.0,35.0,1.0,1.0,2.0,1.0,33,2018-10-21 19:50:00
3,1,1.0,16,1,1.0,1.0,36.0,1.0,1.0,3.0,1.0,22,2018-10-11 13:00:00
3,1,1.0,12,1,1.0,1.0,32.0,2.0,1.0,3.0,1.0,13,2016-07-21 10:32:00
2,1,1.0,7,1,1.0,1.0,28.0,1.0,10.0,3.0,1.0,31,2020-12-17 05:05:00
2,1,1.0,16,1,2.0,2.0,45.0,1.0,10.0,3.0,1.0,14,2017-11-30 19:40:00
3,1,1.0,10,2,1.0,1.0,44.0,1.0,1.0,3.0,1.0,31,2019-05-30 02:40:00
3,1,1.0,4,2,1.0,1.0,22.0,1.0,9.0,3.0,1.0,22,2020-08-24 13:55:00
2,1,1.0,12,1,3.0,2.0,36.0,2.0,3.0,2.0,1.0,22,2015-06-22 05:30:00
3,1,1.0,12,1,1.0,1.0,25.0,1.0,5.0,3.0,1.0,55,2017-08-28 10:30:00
2,1,1.0,5,1,5.0,2.0,20.0,1.0,13.0,0.0,1.0,31,2017-06-11 10:15:00
2,2,0.0,10,1,2.0,1.0,26.0,1.0,10.0,3.0,1.0,67,2019-03-07 15:00:00
2,3,0.0,8,1,1.0,1.0,44.0,1.0,2.0,2.0,1.0,108,2018-10-18 19:00:00
3,1,1.0,14,1,1.0,1.0,29.0,1.0,1.0,2.0,1.0,31,2015-12-13 12:20:00
2,2,0.0,11,1,4.0,2.0,28.0,1.0,10.0,3.0,1.0,101,2016-08-28 03:10:00
3,1,1.0,2,1,1.0,1.0,33.0,1.0,1.0,3.0,1.0,31,2016-10-06 12:20:00
2,1,1.0,5,1,1.0,1.0,55.0,1.0,10.0,3.0,1.0,67,2020-04-17 11:10:00
2,1,1.0,8,1,1.0,2.0,26.0,1.0,5.0,3.0,1.0,85,2017-12-12 10:00:00
3,1,4.0,13,10,1.0,1.0,37.71525130603967,0.0,4.0,2.0,1.0,67,2019-03-11 20:58:00
2,1,1.0,8,2,5.0,2.0,35.0,1.0,13.0,0.0,1.0,33,2018-01-12 13:10:00
3,1,1.0,12,1,1.0,1.0,23.0,2.0,6.0,3.0,1.0,67,2017-11-11 09:30:00
3,1,1.0,12,1,1.0,1.0,46.0,1.0,4.0,2.0,1.0,31,2017-06-16 06:40:00
3,1,1.0,2,10,1.0,1.0,43.0,1.0,1.0,3.0,1.0,31,2017-10-06 12:20:00
3,1,1.0,11,2,1.0,1.0,38.0,1.0,1.0,3.0,1.0,22,2017-02-03 18:20:00
2,1,1.0,9,1,2.0,2.0,52.0,1.0,1.0,3.0,1.0,13,2018-10-14 16:20:00
2,2,0.0,8,1,4.0,2.0,72.0,1.0,10.0,3.0,1.0,100,2015-05-27 16:42:00
3,1,1.0,1,1,1.0,1.0,29.0,1.0,1.0,3.0,1.0,9,2020-12-06 11:13:00
2,2,0.0,16,2,4.0,2.0,43.0,1.0,2.0,2.0,1.0,102,2018-04-09 15:50:00
2,2,0.0,11,1,2.0,1.0,23.0,1.0,10.0,3.0,1.0,100,2016-09-13 12:00:00
3,1,1.0,7,1,1.0,1.0,34.0,1.0,1.0,3.0,1.0,13,2017-01-20 10:50:00
2,2,0.0,19,1,5.0,1.0,55.0,1.0,13.0,0.0,1.0,67,2019-06-29 09:00:00
3,1,1.0,8,1,1.0,1.0,32.0,1.0,1.0,3.0,1.0,31,2015-07-27 20:35:00
3,1,1.0,16,1,1.0,1.0,31.0,2.0,1.0,3.0,1.0,13,2017-12-06 11:45:00
3,1,4.0,12,1,1.0,1.0,26.0,1.0,4.0,2.0,1.0,51,2018-09-21 13:40:00
3,1,1.0,5,1,1.0,1.0,44.0,1.0,2.0,2.0,1.0,67,2018-03-14 12:10:00
3,1,1.0,16,1,2.0,1.0,21.0,1.0,4.0,2.0,1.0,13,2019-02-19 20:25:00
3,1,1.0,8,1,1.0,1.0,51.0,1.0,8.0,2.0,1.0,13,2019-10-18 06:37:00
2,1,1.0,19,1,3.0,2.0,5.0,2.0,1.0,3.0,1.0,13,2020-03-18 10:13:00
2,1,1.0,19,1,3.0,2.0,5.0,2.0,10.0,3.0,1.0,49,2017-04-24 12:50:00
3,1,1.0,12,1,1.0,1.0,31.0,1.0,2.0,2.0,1.0,67,2016-08-30 15:15:00
2,1,1.0,13,2,3.0,2.0,33.0,1.0,1.0,3.0,1.0,67,2015-05-17 06:00:00
3,1,1.0,3,2,1.0,1.0,31.0,1.0,1.0,2.0,1.0,67,2016-10-29 20:15:00
3,1,1.0,4,2,1.0,1.0,36.0,1.0,10.0,3.0,1.0,22,2016-07-20 16:45:00
3,1,1.0,3,2,2.0,1.0,41.0,1.0,10.0,3.0,1.0,67,2017-04-24 05:20:00
3,1,1.0,11,1,1.0,1.0,58.0,1.0,1.0,3.0,1.0,31,2015-03-23 11:00:00
2,1,1.0,1,1,2.0,2.0,22.0,1.0,10.0,3.0,1.0,42,2019-06-19 08:38:00
3,1,1.0,1,1,1.0,1.0,19.0,2.0,1.0,3.0,1.0,31,2017-11-02 16:00:00
3,1,1.0,11,1,1.0,1.0,45.0,1.0,2.0,2.0,1.0,67,2019-02-13 19:10:00
2,1,1.0,14,1,1.0,1.0,50.0,1.0,10.0,3.0,1.0,33,2016-12-10 17:39:00
3,1,1.0,19,1,1.0,1.0,30.0,2.0,1.0,3.0,1.0,13,2016-11-17 13:30:00
3,1,1.0,7,1,1.0,1.0,28.0,1.0,2.0,2.0,1.0,13,2016-06-17 19:25:00
3,1,1.0,13,1,1.0,1.0,27.0,1.0,1.0,3.0,1.0,13,2017-05-15 13:30:00
2,1,1.0,17,1,4.0,2.0,48.0,2.0,10.0,3.0,1.0,100,2017-12-15 05:00:00
3,1,1.0,4,2,1.0,1.0,31.0,1.0,1.0,2.0,1.0,67,2020-05-15 21:10:00
3,1,1.0,11,1,2.0,1.0,19.0,1.0,10.0,3.0,1.0,31,2018-07-31 07:30:00
2,1,1.0,4,1,2.0,2.0,23.0,2.0,1.0,3.0,1.0,15,2019-07-26 18:45:00
3,1,1.0,9,2,1.0,1.0,44.0,1.0,1.0,3.0,1.0,22,2016-05-10 11:40:00
3,1,1.0,13,7,1.0,1.0,45.0,1.0,5.0,3.0,1.0,31,2017-06-03 15:00:00
3,1,1.0,3,1,1.0,1.0,39.0,1.0,1.0,2.0,1.0,31,2017-05-27 13:40:00
1,2,0.0,18,1,4.0,3.0,37.71525130603967,0.0,10.0,3.0,1.0,100,2019-04-09 16:25:00
3,1,1.0,17,1,1.0,1.0,25.0,1.0,5.0,3.0,1.0,87,2015-07-18 22:00:00
2,1,1.0,10,1,3.0,2.0,29.0,2.0,5.0,3.0,1.0,31,2017-05-06 12:50:00
3,1,1.0,16,1,1.0,1.0,58.0,1.0,5.0,3.0,1.0,13,2016-12-20 08:50:00
2,1,1.0,9,2,2.0,2.0,24.0,1.0,10.0,3.0,1.0,26,2018-12-26 19:06:00
2,1,1.0,6,1,5.0,2.0,46.0,1.0,13.0,0.0,1.0,24,2019-12-21 12:10:00
1,1,1.0,7,1,3.0,2.0,41.0,2.0,2.0,2.0,1.0,26,2018-08-10 05:45:00
3,1,1.0,9,2,1.0,1.0,30.0,1.0,1.0,3.0,1.0,13,2017-07-10 18:30:00
3,1,1.0,9,1,1.0,1.0,39.0,1.0,2.0,2.0,1.0,13,2018-08-17 16:30:00
3,1,1.0,13,1,2.0,1.0,25.0,1.0,1.0,3.0,1.0,31,2019-03-18 17:15:00
3,1,1.0,13,1,1.0,1.0,34.0,1.0,1.0,3.0,1.0,13,2015-12-28 16:12:00
2,2,0.0,2,2,4.0,2.0,26.0,2.0,1.0,3.0,1.0,33,2020-04-02 09:00:00
3,1,1.0,10,1,1.0,1.0,31.0,1.0,10.0,3.0,1.0,9,2017-08-03 09:30:00
3,1,1.0,6,1,1.0,1.0,33.0,1.0,2.0,2.0,1.0,31,2015-08-03 18:10:00
2,1,1.0,10,2,5.0,2.0,17.0,1.0,10.0,1.0,1.0,42,2015-03-03 11:50:00
2,1,1.0,13,1,3.0,2.0,8.0,1.0,1.0,3.0,1.0,31,2018-03-15 06:30:00
3,1,1.0,9,1,1.0,1.0,30.0,1.0,7.0,2.0,1.0,67,2015-01-20 14:15:00
3,1,1.0,8,1,1.0,1.0,28.0,1.0,1.0,3.0,1.0,22,2019-06-07 21:33:00
3,1,1.0,9,1,1.0,1.0,54.0,2.0,2.0,2.0,1.0,13,2017-07-17 07:40:00
3,1,1.0,10,1,1.0,1.0,44.0,1.0,2.0,2.0,1.0,13,2016-05-25 14:00:00
2,1,1.0,2,1,1.0,1.0,30.0,1.0,2.0,2.0,1.0,31,2015-06-18 10:30:00
3,1,1.0,1,1,1.0,1.0,37.0,1.0,6.0,3.0,1.0,31,2016-01-22 15:00:00
2,1,1.0,2,2,1.0,1.0,57.0,1.0,10.0,3.0,1.0,22,2019-11-02 11:01:00
2,1,1.0,14,2,1.0,1.0,54.0,1.0,10.0,3.0,1.0,22,2017-08-30 06:45:00
3,1,1.0,10,2,1.0,1.0,50.0,1.0,5.0,2.0,1.0,31,2016-09-09 07:30:00
3,1,1.0,8,2,1.0,1.0,36.0,1.0,1.0,2.0,1.0,22,2016-11-17 05:40:00
3,1,1.0,19,1,1.0,1.0,39.0,1.0,1.0,3.0,1.0,16,2017-05-03 13:50:00
3,1,1.0,1,2,1.0,1.0,31.0,2.0,1.0,3.0,1.0,42,2019-03-16 09:05:00
2,1,1.0,8,1,3.0,2.0,56.0,1.0,1.0,3.0,1.0,12,2016-06-29 19:00:00
3,1,1.0,14,2,1.0,1.0,37.0,1.0,6.0,3.0,1.0,32,2017-08-29 21:30:00
3,1,1.0,9,1,1.0,1.0,31.0,1.0,7.0,2.0,1.0,31,2016-01-12 17:30:00
3,1,1.0,19,2,2.0,1.0,34.0,1.0,10.0,3.0,1.0,13,2016-08-04 13:00:00
2,1,1.0,10,1,5.0,2.0,78.0,1.0,13.0,0.0,1.0,42,2015-06-29 11:55:00
3,1,1.0,16,2,1.0,1.0,18.0,1.0,4.0,3.0,1.0,13,2015-05-06 11:50:00
2,1,1.0,1,1,1.0,1.0,58.0,1.0,10.0,3.0,1.0,67,2020-07-30 10:25:00
3,1,1.0,3,2,1.0,1.0,42.0,1.0,10.0,3.0,1.0,13,2017-10-04 08:10:00
3,1,1.0,9,1,1.0,1.0,24.0,1.0,1.0,3.0,1.0,13,2019-11-09 21:15:00
2,2,0.0,11,1,4.0,2.0,73.0,1.0,10.0,3.0,1.0,100,2015-11-29 18:50:00
3,1,1.0,11,1,2.0,1.0,37.0,1.0,10.0,3.0,1.0,31,2018-01-31 22:40:00
3,1,1.0,12,1,1.0,1.0,27.0,1.0,1.0,3.0,1.0,49,2017-03-25 22:15:00
3,1,1.0,16,1,1.0,1.0,22.0,1.0,2.0,2.0,1.0,31,2016-12-21 10:30:00
3,1,1.0,1,2,1.0,1.0,55.0,1.0,1.0,3.0,1.0,42,2017-03-31 07:20:00
2,1,4.0,10,1,2.0,2.0,27.0,1.0,10.0,3.0,1.0,89,2020-09-16 23:25:00
2,1,1.0,16,1,2.0,2.0,23.0,1.0,10.0,3.0,1.0,67,2019-11-01 17:00:00
3,1,1.0,16,1,1.0,1.0,26.0,1.0,1.0,3.0,1.0,31,2020-03-07 17:30:00
3,1,1.0,9,8,1.0,1.0,42.0,1.0,1.0,3.0,1.0,67,2020-02-07 18:30:00
2,2,0.0,1,1,2.0,2.0,19.0,1.0,10.0,3.0,1.0,100,2019-07-15 12:25:00
3,1,1.0,8,1,1.0,1.0,41.0,1.0,4.0,3.0,1.0,31,2017-03-16 20:30:00
3,1,1.0,10,1,1.0,1.0,57.0,1.0,3.0,2.0,1.0,31,2018-07-14 15:50:00
3,1,1.0,14,2,1.0,1.0,33.0,1.0,5.0,2.0,1.0,31,2016-12-17 13:45:00
2,1,1.0,11,1,1.0,1.0,42.0,1.0,4.0,2.0,1.0,22,2018-06-16 22:10:00
3,1,1.0,3,1,1.0,1.0,54.0,1.0,3.0,2.0,1.0,67,2017-12-13 07:40:00
3,1,1.0,8,1,1.0,1.0,60.0,1.0,1.0,3.0,1.0,16,2017-02-08 19:18:00
2,1,1.0,12,1,3.0,2.0,24.0,2.0,10.0,3.0,1.0,9,2019-05-22 07:33:00
3,1,1.0,11,1,1.0,1.0,29.0,1.0,5.0,3.0,1.0,89,2018-03-02 19:00:00
2,1,1.0,3,1,1.0,1.0,20.0,1.0,10.0,3.0,1.0,31,2017-10-27 07:00:00
2,1,1.0,1,2,1.0,1.0,22.0,1.0,1.0,2.0,1.0,22,2020-06-02 10:30:00
3,1,1.0,10,1,1.0,1.0,50.0,2.0,5.0,2.0,1.0,31,2020-03-14 09:07:00
2,4,0.0,18,1,3.0,2.0,25.0,2.0,2.0,2.0,1.0,29,2016-08-25 14:00:00
2,1,1.0,13,1,1.0,1.0,20.0,1.0,10.0,1.0,1.0,13,2019-04-28 16:00:00
3,1,1.0,1,1,1.0,1.0,38.0,1.0,2.0,2.0,1.0,42,2016-12-15 06:10:00
3,1,1.0,8,4,1.0,1.0,39.0,1.0,10.0,3.0,1.0,31,2019-02-08 05:20:00
3,1,1.0,11,1,1.0,1.0,61.0,1.0,10.0,3.0,1.0,31,2018-11-30 14:55:00
2,2,0.0,10,1,4.0,2.0,17.0,1.0,5.0,1.0,1.0,102,2017-03-16 17:00:00
3,1,1.0,9,1,1.0,1.0,33.0,1.0,5.0,3.0,1.0,31,2017-11-30 11:30:00
3,1,1.0,10,1,1.0,1.0,47.0,1.0,1.0,2.0,1.0,31,2017-03-04 14:50:00
3,1,1.0,18,1,1.0,1.0,61.0,1.0,1.0,3.0,1.0,31,2017-10-27 17:00:00
3,1,1.0,4,2,1.0,1.0,26.0,1.0,1.0,3.0,1.0,22,2017-02-06 20:10:00
3,1,1.0,8,1,1.0,1.0,47.0,1.0,3.0,2.0,1.0,25,2019-12-26 15:20:00
3,1,1.0,19,1,2.0,1.0,22.0,2.0,1.0,3.0,1.0,31,2019-07-27 08:11:00
3,1,1.0,16,1,1.0,1.0,24.0,1.0,2.0,3.0,1.0,13,2016-09-23 08:30:00
3,1,1.0,16,1,1.0,1.0,49.0,1.0,7.0,2.0,1.0,67,2020-05-27 16:05:00
3,1,1.0,1,1,1.0,1.0,36.0,0.0,4.0,2.0,1.0,13,2016-05-12 12:00:00
3,1,1.0,9,1,1.0,1.0,59.0,1.0,4.0,2.0,1.0,33,2018-02-14 09:15:00
2,1,1.0,16,1,1.0,1.0,40.0,1.0,10.0,3.0,1.0,38,2016-01-06 20:00:00
3,1,1.0,3,1,1.0,1.0,29.0,1.0,6.0,3.0,1.0,31,2019-02-07 16:15:00
3,1,1.0,18,2,1.0,1.0,24.0,1.0,2.0,2.0,1.0,52,2019-05-14 23:07:00
3,1,1.0,6,1,1.0,1.0,29.0,1.0,1.0,2.0,1.0,55,2015-06-09 02:30:00
3,1,1.0,7,1,1.0,1.0,26.0,1.0,5.0,3.0,1.0,13,2018-09-25 20:15:00
3,1,1.0,8,2,1.0,1.0,35.0,1.0,1.0,2.0,1.0,22,2018-08-20 10:49:00
1,1,1.0,19,1,3.0,2.0,50.0,1.0,2.0,2.0,1.0,67,2015-02-10 08:00:00
1,2,0.0,8,1,2.0,2.0,32.0,1.0,10.0,3.0,1.0,102,2015-12-18 06:25:00
3,1,1.0,8,1,1.0,1.0,48.0,1.0,5.0,2.0,1.0,67,2016-03-01 20:06:00
3,1,1.0,9,2,1.0,1.0,53.0,1.0,1.0,3.0,1.0,22,2016-05-11 01:43:00
3,1,1.0,12,1,1.0,1.0,46.0,1.0,5.0,2.0,1.0,31,2018-02-26 19:00:00
2,3,0.0,16,1,1.0,2.0,19.0,1.0,1.0,2.0,1.0,20,2018-12-25 09:38:00
2,1,1.0,13,1,1.0,1.0,51.0,1.0,5.0,2.0,1.0,31,2016-01-21 10:00:00
3,1,1.0,14,1,1.0,1.0,22.0,1.0,5.0,2.0,1.0,13,2017-12-15 17:20:00
3,1,1.0,11,1,1.0,1.0,45.0,1.0,1.0,3.0,1.0,42,2019-06-04 13:15:00
3,1,1.0,10,1,1.0,1.0,25.0,1.0,5.0,2.0,1.0,53,2018-07-05 12:06:00
3,1,1.0,11,1,1.0,1.0,34.0,2.0,2.0,2.0,1.0,31,2019-03-13 09:19:00
3,1,1.0,5,1,1.0,1.0,24.0,1.0,1.0,3.0,1.0,31,2018-12-22 19:50:00
3,1,1.0,8,1,1.0,1.0,47.0,1.0,1.0,3.0,1.0,31,2018-10-20 06:40:00
3,1,1.0,13,1,1.0,1.0,21.0,1.0,1.0,3.0,1.0,31,2016-08-06 14:50:00
3,1,1.0,10,1,1.0,1.0,58.0,1.0,1.0,3.0,1.0,42,2020-11-20 19:35:00
2,1,1.0,8,1,3.0,2.0,18.0,1.0,1.0,2.0,1.0,32,2015-03-10 07:10:00
3,1,1.0,18,1,1.0,1.0,48.0,1.0,5.0,3.0,1.0,35,2019-01-13 06:46:00
2,1,1.0,11,1,2.0,2.0,39.0,1.0,10.0,3.0,1.0,13,2015-05-10 07:30:00
3,1,1.0,9,1,1.0,1.0,27.0,1.0,4.0,2.0,1.0,13,2017-10-30 13:20:00
3,1,1.0,2,2,1.0,1.0,58.0,1.0,5.0,3.0,1.0,22,2016-05-15 09:00:00
3,1,1.0,1,1,1.0,1.0,37.0,1.0,6.0,3.0,1.0,31,2016-09-10 10:30:00
3,1,1.0,7,1,1.0,1.0,19.0,1.0,5.0,2.0,1.0,15,2018-08-17 19:10:00
2,1,1.0,10,1,2.0,1.0,25.0,1.0,13.0,0.0,1.0,33,2018-12-31 13:10:00
3,1,1.0,8,1,1.0,1.0,52.0,1.0,5.0,3.0,1.0,31,2016-07-04 17:30:00
3,1,1.0,1,1,1.0,1.0,60.0,2.0,5.0,2.0,1.0,16,2017-11-12 15:45:00
3,1,1.0,7,1,1.0,1.0,59.0,1.0,5.0,2.0,1.0,51,2020-11-21 15:30:00
3,1,1.0,10,1,1.0,1.0,28.0,1.0,2.0,2.0,1.0,31,2016-02-06 06:41:00
3,1,1.0,1,1,1.0,1.0,50.0,1.0,1.0,2.0,1.0,62,2019-02-10 09:50:00
3,1,1.0,12,1,1.0,1.0,59.0,1.0,1.0,3.0,1.0,25,2017-09-12 16:05:00
3,1,1.0,8,5,1.0,1.0,37.0,1.0,4.0,2.0,1.0,44,2017-11-03 15:10:00
3,1,1.0,10,1,1.0,1.0,43.0,1.0,1.0,3.0,1.0,67,2019-10-27 14:05:00
2,1,1.0,12,1,2.0,2.0,43.0,1.0,13.0,0.0,1.0,6,2019-06-05 06:35:00
3,1,1.0,10,2,1.0,1.0,32.0,1.0,4.0,2.0,1.0,55,2017-12-05 23:00:00
3,3,0.0,1,1,1.0,1.0,28.0,1.0,5.0,3.0,1.0,24,2017-11-26 01:30:00
3,1,1.0,9,1,1.0,1.0,27.0,1.0,1.0,2.0,1.0,31,2016-12-30 03:35:00
2,1,1.0,5,1,3.0,2.0,44.0,2.0,5.0,3.0,1.0,69,2016-02-10 16:15:00
